Provincia,Partido ,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL,conectividad
BUENOS AIRES,Balcarce,Balcarce,0,1,1,1,0,1,1,1,0,SI
BUENOS AIRES,,San Agustín,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,Baradero,Baradero,0,0,0,1,0,1,1,1,1,SI
BUENOS AIRES,,Villa Alsina (Est. Alsina),1,0,0,0,1,1,0,1,0,SI
BUENOS AIRES,General Las Heras,La Choza,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,,Plomer,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,,General Lavalle,0,1,0,1,1,1,0,0,1,SI
BUENOS AIRES,General Paz,Ranchos,0,0,1,1,0,1,1,1,0,SI
BUENOS AIRES,,Villanueva (Ap. Río Salado),0,0,0,0,0,0,0,1,0,SI
MISIONES,San Ignacio,General Urquiza,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,,Los Naranjos,0,0,0,1,0,0,0,0,0,SI
BUENOS AIRES,Maipú,Las Armas,0,0,0,0,0,1,1,1,0,SI
BUENOS AIRES,,Area De Promocion El Triángulo,1,0,0,0,1,1,0,0,0,SI
BUENOS AIRES,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,0,1,0,1,0,1,1,1,0,SI
BUENOS AIRES,,Virreyes,1,1,0,1,1,1,0,0,0,SI
CABA,COMUNA 04,NUEVA POMPEYA,0,1,1,1,0,1,1,1,0,SI
BUENOS AIRES,,María Ignacia (Est. Vela),1,0,0,0,1,0,0,1,0,SI
BUENOS AIRES,,Tandil,1,1,0,1,1,1,0,1,1,SI
BUENOS AIRES,Tapalqué,Velloso,0,0,0,0,0,0,0,0,0,NO
CABA,,FLORESTA,1,1,0,1,1,1,0,0,1,SI
CHUBUT,Gaiman,28 de Julio,0,0,0,1,0,1,0,0,1,SI
BUENOS AIRES,San Isidro,Villa Adelina,0,1,0,1,0,1,1,0,0,SI
BUENOS AIRES,,Campo De Mayo,0,0,0,0,1,1,0,0,0,SI
BUENOS AIRES,San Miguel,Muñiz,0,1,1,1,0,1,1,0,0,SI
BUENOS AIRES,Berisso,Berisso,0,1,1,1,0,1,1,1,0,SI
BUENOS AIRES,Berisso,Villa Dolores,0,0,0,0,0,1,0,0,0,SI
BUENOS AIRES,Berisso,Villa Nueva,0,0,0,1,0,1,0,1,0,SI
BUENOS AIRES,,Villa Zula,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,Bolívar,Mariano Unzué,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,,Pirovano,0,0,0,0,0,1,0,0,0,SI
BUENOS AIRES,Bolívar,Urdampilleta,0,0,1,0,0,1,1,1,0,SI
CORDOBA,,Alpa Corral,0,0,0,0,1,1,0,0,0,SI
CORDOBA,Río Cuarto,Berrotarán,0,0,0,1,0,1,1,0,0,SI
CORDOBA,,Chaján,0,0,0,1,1,1,0,0,1,SI
CHACO,San Lorenzo,Villa Berthet,0,0,0,1,0,1,0,1,1,SI
CHACO,,Ingeniero Barbet,0,0,0,0,0,0,0,0,0,NO
CHACO,Sargento Cabral,Las Garcitas,0,0,0,0,0,1,1,1,1,SI
CHACO,,Cote Lai,0,0,0,0,1,0,0,0,0,SI
CHACO,Tapenagá,Horquilla,0,0,0,0,0,0,0,0,0,NO
CHUBUT,,Puerto Pirámide,0,0,0,0,1,1,0,1,0,SI
CORDOBA,Cruz del Eje,El Brete,0,0,0,1,0,0,0,0,0,SI
CORDOBA,,Guanaco Muerto,0,0,0,0,0,0,0,1,0,SI
CORDOBA,,La Banda,0,0,0,0,0,0,0,0,1,SI
CORDOBA,Cruz del Eje,Las Cañadas,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,Paso Viejo,1,0,0,0,1,1,0,1,0,SI
CORDOBA,Cruz del Eje,Serrezuela,0,0,0,1,0,0,1,1,0,SI
BUENOS AIRES,,Chapadmalal,1,0,0,1,1,1,0,1,1,SI
BUENOS AIRES,General Pueyrredón,El Marquesado,0,0,0,0,0,0,1,0,0,SI
BUENOS AIRES,,Punta Mogotes,0,0,0,0,1,1,0,0,0,SI
CABA,COMUNA 05,ALMAGRO,0,1,1,1,0,1,1,1,1,SI
CHUBUT,,Km. 11 - Cuarteles,0,0,0,0,0,0,0,0,0,NO
CHUBUT,,KM. 3 - General Mosconi,0,0,0,0,1,1,0,0,0,SI
CHUBUT,,Camarones,0,0,0,0,1,0,0,0,1,SI
CHUBUT,Futaleufú,Aldea Escolar,0,0,0,0,0,0,1,0,0,SI
BUENOS AIRES,,La Armonía,0,0,0,0,1,1,0,1,0,SI
BUENOS AIRES,,Mar Chiquita,0,0,0,0,1,1,0,0,0,SI
BUENOS AIRES,Mar Chiquita,Santa Elena,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,Marcos Paz,Marcos Paz,0,1,1,1,0,1,1,0,1,SI
BUENOS AIRES,,Goldney,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,0,1,0,1,0,1,1,0,0,SI
BUENOS AIRES,,Guillermo E. Hudson,1,1,0,1,1,1,0,0,0,SI
BUENOS AIRES,,Villa España,1,1,0,1,1,1,0,0,0,SI
ENTRE RIOS,Colón,El Colorado,0,0,0,0,0,1,0,0,1,SI
BUENOS AIRES,,General Pinto,0,0,0,0,1,1,0,0,1,SI
BUENOS AIRES,General Pinto,Gunther,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,,Barrio Colinas Verdes,0,0,0,0,1,1,0,1,0,SI
BUENOS AIRES,General Pueyrredón,Barrio La Gloria,0,0,0,0,0,1,0,0,0,SI
BUENOS AIRES,Malvinas Argentinas,Los Polvorines,0,1,1,1,0,1,1,1,0,SI
BUENOS AIRES,,Atlantida,0,0,0,0,1,1,0,0,0,SI
BUENOS AIRES,San Nicolás,Campos Salles,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,San Nicolás,General Rojo,0,0,0,1,0,1,1,0,1,SI
BUENOS AIRES,,La Emilia,0,0,0,0,1,1,0,0,0,SI
BUENOS AIRES,San Nicolás,Villa Riccio,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,,Pueblo Doyle,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,,Santa Lucía,0,0,0,1,1,1,0,0,1,SI
BUENOS AIRES,San Vicente,Domselaar,0,1,0,0,0,1,1,1,0,SI
BUENOS AIRES,,Suipacha,1,0,0,1,1,1,0,0,0,SI
BUENOS AIRES,,De la Canal,0,0,0,0,0,0,0,1,0,SI
CHUBUT,,Gastre,0,0,0,0,1,0,0,1,0,SI
CHUBUT,,Yala Laubat,0,0,0,0,0,0,0,0,1,SI
CHUBUT,Languiñeo,Aldea Epulef,0,0,0,0,0,0,1,1,0,SI
CORDOBA,,Coronel Moldes,1,0,0,0,1,1,0,0,0,SI
CORDOBA,,La Gilda,0,0,0,0,0,0,0,0,0,NO
CHUBUT,Languiñeo,Colan Conhue,0,0,0,0,0,0,1,1,1,SI
CHUBUT,,Las Plumas,0,0,0,0,0,0,0,0,1,SI
CHUBUT,Paso de Indios,Los Altares,0,0,0,0,0,0,1,1,0,SI
CHUBUT,Paso de Indios,Paso de Indios,0,0,0,0,0,0,1,0,1,SI
BUENOS AIRES,,General O'Brien,1,0,0,1,1,1,0,1,0,SI
BUENOS AIRES,Bragado,Máximo Fernández (Est. Juan F. Salaberry),0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,,Olascoaga,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,Brandsen,Altamirano,0,0,0,0,0,0,1,0,0,SI
BUENOS AIRES,,Barrio Parque Las Acacias,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,Brandsen,Campos de Roca,0,0,0,0,0,1,0,0,0,SI
ENTRE RIOS,,Pueblo Moreno,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,,Coronel Brandsen,1,1,0,1,1,1,0,1,0,SI
BUENOS AIRES,Brandsen,Posada de los Lagos,0,0,0,0,0,1,0,0,0,SI
BUENOS AIRES,Campana,Chacras del Río Luján,0,0,0,0,0,1,0,0,0,SI
BUENOS AIRES,,General Rodríguez,1,1,0,1,1,1,0,1,0,SI
BUENOS AIRES,General San Martín,Barrio Parque General San Martin,0,0,1,1,0,0,1,1,0,SI
BUENOS AIRES,General San Martín,Ciudad Jardin El Libertador,0,1,0,0,0,1,1,0,0,SI
BUENOS AIRES,General San Martín,Villa Ballester,0,1,1,1,0,1,1,1,0,SI
BUENOS AIRES,General San Martín,Villa Coronel Jose M. Zapiola,0,1,0,1,0,1,0,0,0,SI
BUENOS AIRES,,Villa General Antonio J. De Sucre,0,1,0,1,1,1,0,0,0,SI
BUENOS AIRES,General San Martín,Villa Godoy Cruz,0,1,0,1,0,1,0,0,0,SI
BUENOS AIRES,,Villa Gregoria Matorras,0,1,0,0,1,1,0,0,0,SI
BUENOS AIRES,,Tomás Jofré,0,0,0,0,0,0,0,0,0,NO
BUENOS AIRES,Merlo,Pontevedra,0,1,1,1,0,1,1,0,0,SI
BUENOS AIRES,,Abbott,0,0,0,1,1,1,0,1,0,SI
BUENOS AIRES,,San Miguel del Monte (Est. Monte),1,1,0,1,1,1,0,0,0,SI
BUENOS AIRES,Moreno,Cuartel V,0,1,1,1,0,1,1,0,0,SI
BUENOS AIRES,,Don Torcuato Oeste,0,0,0,0,1,1,0,1,0,SI
BUENOS AIRES,Tigre,General Pacheco,0,1,0,1,0,1,1,0,1,SI
BUENOS AIRES,,Nordelta,0,1,0,1,1,1,0,0,0,SI
BUENOS AIRES,Tigre,Ricardo Rojas,0,1,0,1,0,1,1,0,0,SI
BUENOS AIRES,Tordillo,General Conesa,0,1,0,0,0,1,1,1,0,SI
RIO NEGRO,,Río Chico (Est. Cerro Mesa),0,0,0,0,0,0,0,0,1,SI
BUENOS AIRES,Cañuelas,Barrio El Taladro,0,0,0,0,0,0,0,1,0,SI
BUENOS AIRES,,Uribelarrea,1,0,0,1,1,1,0,0,0,SI
BUENOS AIRES,,La Luisa,0,0,0,0,0,0,0,1,0,SI
BUENOS AIRES,Carlos Casares,Bellocq,0,0,1,0,0,0,1,0,0,SI
BUENOS AIRES,,Villa Marqués Alejandro María De Aguado,0,1,0,1,1,1,0,0,0,SI
BUENOS AIRES,General San Martín,Villa Parque Pres Figueroa Alcorta,0,0,0,1,0,1,0,0,0,SI
BUENOS AIRES,General San Martín,Villa Yapeyú,0,1,0,1,0,1,0,0,0,SI
BUENOS AIRES,Moreno,La Reja,0,1,1,1,0,1,1,0,1,SI
BUENOS AIRES,,Paso Del Rey,0,1,0,1,1,1,0,1,0,SI
BUENOS AIRES,Morón,El Palomar,0,1,1,1,0,0,1,1,1,SI
BUENOS AIRES,Tornquist,Tornquist,0,1,0,1,0,1,1,0,1,SI
BUENOS AIRES,Trenque Lauquen,Berutti,0,0,0,1,0,1,1,0,0,SI
BUENOS AIRES,Trenque Lauquen,La Carreta,0,0,0,0,0,0,0,0,0,NO
